~a	 ~ a |
niitaha	 n i i t a h a |
pahk-udo	 p a h k - u d o |
aata	 a a t a |
tibule	 t i b u l e |
mab-uduawaye	 m a b - u d u a w a y e |
de	 d e |
koaka	 k o a k a |
wawaye	 w a w a y e |
~oop-u	 ~ o o p - u |
waato	 w a a t o |
yabaidop-u	 y a b a i d o p - u |
waik-utadap-u	 w a i k - u t a d a p - u |
toop-u	 t o o p - u |
wa-uu	 w a - u u |
~nag-uta	 ~ n a g - u t a |
paad-u	 p a a d - u |
bua	 b u a |
tihimipe	 t i h i m i p e |
m~ap-ule	 m ~ a p - u l e |
waa	 w a a |
bohkado	 b o h k a d o |
dieykiba	 d i e y k i b a |
mahsamena	 m a h s a m e n a |
pihib-ud-ua	 p i h i b - u d - u a |
wag-uta	 w a g - u t a |
niato	 n i a t o |
ehsamaha	 e h s a m a h a |
tikidomaha	 t i k i d o m a h a |
pinonomaha	 p i n o n o m a h a |
pahailikidomaha	 p a h a i l i k i d o m a h a |
pahk-udomaha	 p a h k - u d o m a h a |
b-ud-usa	 b - u d - u s a |
top-ulemaha	 t o p - u l e m a h a |
alimaha	 a l i m a h a |
paad-udo	 p a a d - u d o |
ninikina	 n i n i k i n a |
peemaha	 p e e m a h a |
wehta	 w e h t a |
wehkali	 w e h k a l i |
yaa	 y a a |
bohkeina	 b o h k e i n a |
nie	 n i e |
taado	 t a a d o |
waik-u	 w a i k - u |
tikodotaha	 t i k o d o t a h a |
~oole	 ~ o o l e |
yauduhku	 y a u d u h k u |
sootolyti	 s o o t o l y t i |
toop-unotaa	 t o o p - u n o t a a |
tip-u	 t i p - u |
keodo	 k e o d o |
yaag-u	 y a a g - u |
yaabohkana	 y a a b o h k a n a |
tiaye	 t i a y e |
tik-ule	 t i k - u l e |
mahnu	 m a h n u |
s-ud-uase	 s - u d - u a s e |
buheda	 b u h e d a |
pehseape	 p e h s e a p e |
seede	 s e e d e |
bohkanaga	 b o h k a n a g a |
keok-uhne	 k e o k - u h n e |
yaabohkag-u	 y a a b o h k a g - u |
toopiadota	 t o o p i a d o t a |
ahpe	 a h p e |
ihidetaha	 i h i d e t a h a |
meeni	 m e e n i |
weenaka	 w e e n a k a |
keoletaha	 k e o l e t a h a |
pahikina	 p a h i k i n a |
yag-utaha	 y a g - u t a h a |
yaabohkanoaletaha	 y a a b o h k a n o a l e t a h a |
soo	 s o o |
siniino	 s i n i i n o |
ihietaha	 i h i e t a h a |
-useko	 - u s e k o |
weanoalitaha	 w e a n o a l i t a h a |
weinaka	 w e i n a k a |
wametia	 w a m e t i a |
sii	 s i i |
pahidikeo	 p a h i d i k e o |
dup-utaha	 d u p - u t a h a |
wametiataha	 w a m e t i a t a h a |
mahsa	 m a h s a |
punini	 p u n i n i |
na	 n a |
puni-ud-ua	 p u n i - u d - u a |
wahkalikeo	 w a h k a l i k e o |
saamapito	 s a a m a p i t o |
mamitide	 m a m i t i d e |
toa	 t o a |
tihde	 t i h d e |
paalim~a	 p a a l i m ~ a |
wahkali	 w a h k a l i |
waye	 w a y e |
tikodo	 t i k o d o |
m-uhsa	 m - u h s a |
tie	 t i e |
niata	 n i a t a |
-uhtakohpedi	 - u h t a k o h p e d i |
see	 s e e |
buhedali	 b u h e d a l i |
dohkoli	 d o h k o l i |
ihipe	 i h i p e |
dohkeodeg-u	 d o h k e o d e g - u |
p-uado	 p - u a d o |
dohkeag-u	 d o h k e a g - u |
ihiedali	 i h i e d a l i |
meeno	 m e e n o |
kahtido	 k a h t i d o |
pehye	 p e h y e |
d-utepo	 d - u t e p o |
tiipodo	 t i i p o d o |
uma	 u m a |
pergunta	 p e r g u n t a |
para	 p a r a |
istoriador	 i s t o r i a d o r |
bahsea	 b a h s e a |
tideta	 t i d e t a |
mihsi	 m i h s i |
wahkiedo	 w a h k i e d o |
sihta	 s i h t a |
kuhsadihioli	 k u h s a d i h i o l i |
ihiaya	 i h i a y a |
kenoi	 k e n o i |
ihita	 i h i t a |
dehsuyaye	 d e h s u y a y e |
yU'U	 y U ' U |
manile	 m a n i l e |
segunda-feira	 s e g u n d a - f e i r a |
ihimahape	 i h i m a h a p e |
sayedonada,	 s a y e d o n a d a , |
mia	 m i a |
10	 1 0 |
sayedo	 s a y e d o |
a'likodo	 a ' l i k o d o |
doutora	 d o u t o r a |
pihidi	 p i h i d i |
aU	 a U |
yU'U~gU'U	 y U ' U ~ g U ' U |
wa'Utha	 w a ' U t h a |
thU'oU	 t h U ' o U |
wa'aUta	 w a ' a U t a |
ya'uduku~gU	 y a ' u d u k u ~ g U |
thU'o	 t h U ' o |
athaU	 a t h a U |
kayena	 k a y e n a |
a'rido	 a ' r i d o |
manine	 m a n i n e |
masawameino	 m a s a w a m e i n o |
wahetada	 w a h e t a d a |
bahuegU,	 b a h u e g U , |
ya'uduku	 y a ' u d u k u |
tu'sale	 t u ' s a l e |
Loreano	 L o r e a n o |
ti	 t i |
so'toligã	 s o ' t o l i g ã |
me'nata	 m e ' n a t a |
yU'U~gUta	 y U ' U ~ g U t a |
me'nota	 m e ' n o t a |
khiti,	 k h i t i , |
khiti~gUne	 k h i t i ~ g U n e |
ya'udukuduaaga	 y a ' u d u k u d u a a g a |
sayedo,	 s a y e d o , |
yU'Ule	 y U ' U l e |
wa'ari	 w a ' a r i |
meheta	 m e h e t a |
ihide,	 i h i d e , |
pakU	 p a k U |
mUnanopU	 m U n a n o p U |
sa	 s a |
wa'aetidi	 w a ' a e t i d i |
pekasa	 p e k a s a |
me'na	 m e ' n a |
na'a	 n a ' a |
historia	 h i s t o r i a |
nimahape,	 n i m a h a p e , |
sayegU	 s a y e g U |
kihti	 k i h t i |
ya'uta	 y a ' u t a |
mUnano	 m U n a n o |
bUhUpe	 b U h U p e |
wa'mene	 w a ' m e n e |
ihietidi	 i h i e t i d i |
Agu	 A g u |
comandante	 c o m a n d a n t e |
niyetidi	 n i y e t i d i |
mai	 m a i |
mUnanone	 m U n a n o n e |
~Usa	 ~ U s a |
wa'ikhUna	 w a ' i k h U n a |
phinoamahsa	 p h i n o a m a h s a |
~Uhsa	 ~ U h s a |
bUhkale	 b U h k a l e |
mo'ana	 m o ' a n a |
bo'do	 b o ' d o |
ihibUhUna	 i h i b U h U n a |
Uhka	 U h k a |
dehko	 d e h k o |
bUhka	 b U h k a |
mo'ano	 m o ' a n o |
wa'awa'ari	 w a ' a w a ' a r i |
wa'a,	 w a ' a , |
apeyede	 a p e y e d e |
~kuuka'a	 ~ k u u k a ' a |
tohaataayeta	 t o h a a t a a y e t a |
yakido	 y a k i d o |
diedo	 d i e d o |
Ukãkakidogã	 U k ã k a k i d o g ã |
tido~ga	 t i d o ~ g a |
bUkUdo	 b U k U d o |
bosoa	 b o s o a |
yesea,	 y e s e a , |
bohkasado	 b o h k a s a d o |
~wehedido	 ~ w e h e d i d o |
pititidukuaye	 p i t i t i d u k u a y e |
bUkalenaha,	 b U k a l e n a h a , |
e'me	 e ' m e |
bUkale	 b U k a l e |
~kutini	 ~ k u t i n i |
~pe'o	 ~ p e ' o |
tohaata~gUnaha	 t o h a a t a ~ g U n a h a |
to	 t o |
nUnUka'awa'ayenaha	 n U n U k a ' a w a ' a y e n a h a |
nUnUka'a	 n U n U k a ' a |
yoaripe	 y o a r i p e |
nUnUtini	 n U n U t i n i |
~sooka'aaye	 ~ s o o k a ' a a y e |
toha'ata	 t o h a ' a t a |
topUtohata	 t o p U t o h a t a |
aU,	 a U , |
mU'Une	 m U ' U n e |
~wehekUta	 ~ w e h e k U t a |
nii,	 n i i , |
du'sebuhudo	 d u ' s e b u h u d o |
~soayaliba	 ~ s o a y a l i b a |
niita,	 n i i t a , |
~i'ya	 ~ i ' y a |
dUkUlido	 d U k U l i d o |
~sU'awa'aiyeta	 ~ s U ' a w a ' a i y e t a |
~sU'awa'a,	 ~ s U ' a w a ' a , |
topU	 t o p U |
duhkudUdupU	 d u h k u d U d u p U |
simidu	 s i m i d u |
dapotopU	 d a p o t o p U |
tu'ti	 t u ' t i |
~kuñani	 ~ k u ñ a n i |
duhkuaye	 d u h k u a y e |
~khuña~gU,	 ~ k h u ñ a ~ g U , |
kue	 k u e |
du'seyeetaliba,	 d u ' s e y e e t a l i b a , |
nii.	 n i i . |
sabado	 s a b a d o |
dehkopenaha,	 d e h k o p e n a h a , |
tininidehko	 t i n i n i d e h k o |
~aU	 ~ a U |
~yamia	 ~ y a m i a |
~wehei	 ~ w e h e i |
a'taUtha	 a ' t a U t h a |
~yamiaborota	 ~ y a m i a b o r o t a |
ihidota	 i h i d o t a |
bUkUodo	 b U k U o d o |
a'taUtanaha	 a ' t a U t a n a h a |
ni	 n i |
tohawa'aaye	 t o h a w a ' a a y e |
bi'a~kuka	 b i ' a ~ k u k a |
ke'no	 k e ' n o |
saabia~kuka	 s a a b i a ~ k u k a |
saabia	 s a a b i a |
~ka'muta~ka	 ~ k a ' m u t a ~ k a |
te	 t e |
wU'UpU	 w U ' U p U |
toha	 t o h a |
ya'u	 y a ' u |
na'yoaye	 n a ' y o a y e |
tikodode	 t i k o d o d e |
bUkUo	 b U k U o |
yekido	 y e k i d o |
diedo~ga,	 d i e d o ~ g a , |
nUnU	 n U n U |
~soome'edi,	 ~ s o o m e ' e d i , |
buu	 b u u |
ihiku'ari	 i h i k u ' a r i |
simiduhkudU	 s i m i d u h k u d U |
duhpU	 d u h p U |
mUhUawa'ali	 m U h U a w a ' a l i |
U'mUanopU	 U ' m U a n o p U |
~sayakoadi	 ~ s a y a k o a d i |
~weheina	 ~ w e h e i n a |
wa'aUna	 w a ' a U n a |
bUkUo,	 b U k U o , |
niiaye	 n i i a y e |
~iyo	 ~ i y o |
~yamika'a,	 ~ y a m i k a ' a , |
tidota	 t i d o t a |
ahkodo	 a h k o d o |
miañamine	 m i a ñ a m i n e |
a'taboa	 a ' t a b o a |
ne'e~puni	 n e ' e ~ p u n i |
dU'teayeta	 d U ' t e a y e t a |
bahudona,	 b a h u d o n a , |
ne'e~punilenaha	 n e ' e ~ p u n i l e n a h a |
neañe	 n e a ñ e |
~sia~kuka'a	 ~ s i a ~ k u k a ' a |
~si'a	 ~ s i ' a |
nUnUmo~ka'a	 n U n U m o ~ k a ' a |
dihata~gU	 d i h a t a ~ g U |
~keeita	 ~ k e e i t a |
niimaaye	 n i i m a a y e |
Ukãputi	 U k ã p u t i |
du'te~ku	 d u ' t e ~ k u |
dokoka'aaye	 d o k o k a ' a a y e |
bo'rekeado	 b o ' r e k e a d o |
~i'yo	 ~ i ' y o |
wa'awa'aaye	 w a ' a w a ' a a y e |
~wehewa'aayenaha	 ~ w e h e w a ' a a y e n a h a |
te,	 t e , |
ehsaaye,	 e h s a a y e , |
kome~gUle	 k o m e ~ g U l e |
wUaye	 w U a y e |
dihido	 d i h i d o |
yalia	 y a l i a |
dihiteda~gU	 d i h i t e d a ~ g U |
~keedihioUta	 ~ k e e d i h i o U t a |
a'dU	 a ' d U |
simine	 s i m i n e |
mUnano,	 m U n a n o , |
niinaha	 n i i n a h a |
~UhUamoaye	 ~ U h U a m o a y e |
me'na,	 m e ' n a , |
bu!	 b u ! |
ahsi	 a h s i |
mUhano	 m U h a n o |
niaye	 n i a y e |
tUle	 t U l e |
o,	 o , |
~so'opUpe'le	 ~ s o ' o p U p e ' l e |
du'se	 d u ' s e |
no'opUnu	 n o ' o p U n u |
U'mUano	 U ' m U a n o |
~sayano,	 ~ s a y a n o , |
~sayanonaha	 ~ s a y a n o n a h a |
buupe	 b u u p e |
nee	 n e e |
yalia	 y a l i a |
dihaa'taedaaye	 d i h a a ' t a e d a a y e |
ti	 t i |
niino	 n i i n o |
bo'do	 b o ' d o |
manieno	 m a n i e n o |
de	 d e |
muhi	 m u h i |
tido	 t i d o |
neali	 n e a l i |
pitiawa'ayenaha	 p i t i a w a ' a y e n a h a |
cho!	 c h o ! |
buu	 b u u |
~pulita	 ~ p u l i t a |
~e'meo	 ~ e ' m e o |
dUhkamahanado	 d U h k a m a h a n a d o |
niiaye	 n i i a y e |
mai	 m a i |
mUnano	 m U n a n o |
aU,	 a U , |
yo'o	 y o ' o |
~keedihoUtha	 ~ k e e d i h o U t h a |
mU'Uleta	 m U ' U l e t a |
niinaha,	 n i i n a h a , |
siminUkonipUna	 s i m i n U k o n i p U n a |
sa'alipU	 s a ' a l i p U |
